LATITUD,LONGITUD,DESCRIPCION_CONDUCTA
3.990646197,-73.78047108,2395
3.986985891,-73.76377271,2395
3.986261602,-73.76736071,2691
4.269619699,-73.4865435,2395
4.210927462,-73.58576042,2395
4.242694736,-73.56189948,2393
4.263964919,-73.56260759,2396
4.253137314,-73.56535417,2393
4.261140341,-73.56505376,2395
4.262339297,-73.56333877,2395
4.26359489,-73.56648808,2395
4.263658282,-73.55546218,2395
4.141943944,-73.62644962,2396
4.154350835,-73.62574947,2395
4.177730354,-73.61422077,2395
4.130502988,-73.62007179,2395
4.135352011,-73.62976128,2396
4.146695496,-73.61306704,2395
4.150457154,-73.61414678,2395
4.163892822,-73.66470058,2396
4.152882171,-73.63617468,2395
4.15349858,-73.63621239,2395
4.141161025,-73.623904,2396
4.14595243,-73.64198089,2691
4.08091514,-73.67012565,2396
4.104901814,-73.66434834,2396
4.108136906,-73.65174513,2395
4.120001015,-73.56355563,2395
4.121201678,-73.6334635,2395
4.126512528,-73.6379397,2395
4.129300225,-73.6307652,2395
4.130150657,-73.61747248,2395
4.130492804,-73.63085781,2395
4.131130205,-73.63213858,2395
4.132157383,-73.56238496,2395
4.135108482,-73.63506231,2395
4.135337539,-73.63205894,2396
4.136231385,-73.6233388,2395
4.138675273,-73.61504259,2396
4.141902706,-73.64118183,2395
4.142055126,-73.63625678,2395
4.142894438,-73.58461903,2396
4.146964344,-73.61769511,2395
4.147926887,-73.61978299,2395
4.14815286,-73.63881543,2393
4.150409704,-73.62059471,2395
4.150598747,-73.61341187,2395
4.150649303,-73.63463054,2395
4.15284776,-73.63848263,2395
4.153436639,-73.63345753,2395
4.159479707,-73.6407273,2395
4.162674756,-73.65172219,2395
4.132296495,-73.62544906,2393
4.106496099,-73.59820854,2396
4.134705916,-73.63909614,2395
4.152931173,-73.63752098,2691
4.155793579,-73.63475797,2396
4.080020666,-73.69692456,2396
4.131824656,-73.6103005,2395
4.135048773,-73.63700401,2393
4.139251728,-73.63668084,2395
4.141948689,-73.63960039,2395
4.142312516,-73.63579166,2395
4.264542673,-73.55305892,2395
4.058745513,-73.67405069,2395
4.098427792,-73.64921762,2395
4.138148139,-73.60878827,2395
4.139763054,-73.59391949,2395
4.146629729,-73.6125599,2395
4.079635406,-73.6875261,2395
