LATITUD;LONGITUD;DESCRIPCION_CONDUCTA
3.990.646.197;-7.378.047.108;2395
3.986.985.891;-7.376.377.271;2395
3.986.261.602;-7.376.736.071;2691
4.269.619.699;-734.865.435;2395
4.210.927.462;-7.358.576.042;2395
4.242.694.736;-7.356.189.948;2393
4.263.964.919;-7.356.260.759;2396
4.253.137.314;-7.356.535.417;2393
4.261.140.341;-7.356.505.376;2395
4.262.339.297;-7.356.333.877;2395
426.359.489;-7.356.648.808;2395
4.263.658.282;-7.355.546.218;2395
4.141.943.944;-7.362.644.962;2396
4.154.350.835;-7.362.574.947;2395
4.177.730.354;-7.361.422.077;2395
4.130.502.988;-7.362.007.179;2395
4.135.352.011;-7.362.976.128;2396
4.146.695.496;-7.361.306.704;2395
4.150.457.154;-7.361.414.678;2395
4.163.892.822;-7.366.470.058;2396
4.152.882.171;-7.363.617.468;2395
415.349.858;-7.363.621.239;2395
4.141.161.025;-73.623.904;2396
414.595.243;-7.364.198.089;2691
408.091.514;-7.367.012.565;2396
4.104.901.814;-7.366.434.834;2396
4.108.136.906;-7.365.174.513;2395
4.120.001.015;-7.356.355.563;2395
4.121.201.678;-736.334.635;2395
4.126.512.528;-736.379.397;2395
4.129.300.225;-736.307.652;2395
4.130.150.657;-7.361.747.248;2395
4.130.492.804;-7.363.085.781;2395
4.131.130.205;-7.363.213.858;2395
4.132.157.383;-7.356.238.496;2395
4.135.108.482;-7.363.506.231;2395
4.135.337.539;-7.363.205.894;2396
4.136.231.385;-736.233.388;2395
4.138.675.273;-7.361.504.259;2396
4.141.902.706;-7.364.118.183;2395
4.142.055.126;-7.363.625.678;2395
4.142.894.438;-7.358.461.903;2396
4.146.964.344;-7.361.769.511;2395
4.147.926.887;-7.361.978.299;2395
414.815.286;-7.363.881.543;2393
4.150.409.704;-7.362.059.471;2395
4.150.598.747;-7.361.341.187;2395
4.150.649.303;-7.363.463.054;2395
415.284.776;-7.363.848.263;2395
4.153.436.639;-7.363.345.753;2395
4.159.479.707;-736.407.273;2395
4.162.674.756;-7.365.172.219;2395
4.132.296.495;-7.362.544.906;2393
4.106.496.099;-7.359.820.854;2396
4.134.705.916;-7.363.909.614;2395
4.152.931.173;-7.363.752.098;2691
4.155.793.579;-7.363.475.797;2396
4.080.020.666;-7.369.692.456;2396
