LATITUD;LONGITUD;DIA_SEMANA;MES_LARGO;DESCRIPCION_CONDUCTA;;;
3.990.646.197;-7.378.047.108;6;7;2395;;;3.990.646.197,-7.378.047.108,7,2395
3.986.985.891;-7.376.377.271;5;12;2395;;;3.986.985.891,-7.376.377.271,12,2395
3.986.261.602;-7.376.736.071;1;4;2691;;;3.986.261.602,-7.376.736.071,4,2691
4.269.619.699;-734.865.435;1;12;2395;;;4.269.619.699,-734.865.435,12,2395
4.210.927.462;-7.358.576.042;7;2;2395;;;4.210.927.462,-7.358.576.042,2,2395
4.242.694.736;-7.356.189.948;1;7;2393;;;4.242.694.736,-7.356.189.948,7,2393
4.263.964.919;-7.356.260.759;2;6;2396;;;4.263.964.919,-7.356.260.759,6,2396
4.253.137.314;-7.356.535.417;6;6;2393;;;4.253.137.314,-7.356.535.417,6,2393
4.261.140.341;-7.356.505.376;5;6;2395;;;4.261.140.341,-7.356.505.376,6,2395
4.262.339.297;-7.356.333.877;7;3;2395;;;4.262.339.297,-7.356.333.877,3,2395
426.359.489;-7.356.648.808;6;3;2395;;;426.359.489,-7.356.648.808,3,2395
4.263.658.282;-7.355.546.218;6;3;2395;;;4.263.658.282,-7.355.546.218,3,2395
4.141.943.944;-7.362.644.962;4;3;2396;;;4.141.943.944,-7.362.644.962,3,2396
4.154.350.835;-7.362.574.947;4;9;2395;;;4.154.350.835,-7.362.574.947,9,2395
4.177.730.354;-7.361.422.077;7;1;2395;;;4.177.730.354,-7.361.422.077,1,2395
4.130.502.988;-7.362.007.179;2;7;2395;;;4.130.502.988,-7.362.007.179,7,2395
4.135.352.011;-7.362.976.128;6;7;2396;;;4.135.352.011,-7.362.976.128,7,2396
4.146.695.496;-7.361.306.704;4;6;2395;;;4.146.695.496,-7.361.306.704,6,2395
4.150.457.154;-7.361.414.678;3;7;2395;;;4.150.457.154,-7.361.414.678,7,2395
4.163.892.822;-7.366.470.058;6;7;2396;;;4.163.892.822,-7.366.470.058,7,2396
4.152.882.171;-7.363.617.468;6;6;2395;;;4.152.882.171,-7.363.617.468,6,2395
415.349.858;-7.363.621.239;2;7;2395;;;415.349.858,-7.363.621.239,7,2395
4.141.161.025;-73.623.904;5;7;2396;;;4.141.161.025,-73.623.904,7,2396
414.595.243;-7.364.198.089;3;8;2691;;;414.595.243,-7.364.198.089,8,2691
408.091.514;-7.367.012.565;1;2;2396;;;408.091.514,-7.367.012.565,2,2396
4.104.901.814;-7.366.434.834;2;9;2396;;;4.104.901.814,-7.366.434.834,9,2396
